VehicleID,ActivityDateTimeEST,UniqueVIN ,Last_Event,Last_EventTime,Latitude_Last,Last_Longitude,Last_Vendor,Reactvation_Event,Reactivatiopn_EventTime,Reactvation_Latitude,Reactivation_Longitude,Reactivation vendor,Final_check,Inactivity(hours),Inactivity(days)
DB5D95E8-595B-47D4-BC39-D519B2013CC8,2018-09-21,1GB3G3BG5C1162732,84,2018-09-21 11:41:21,40.6541956,-73.89236009999998,NYC DOE - LEESEL SELBY BUS,84.0,2018-09-21 11:41:21,40.6541956,-73.89236009999998,NYC DOE - LEESEL SELBY BUS,0,48.00138888888889,2.0
DD052B8C-CA06-468B-A965-E7F1C156473E,2018-09-12,1GDHG316X81234568,106,2018-09-12 17:52:54,40.8430021,-73.88465409999998,NYC DOE - LOGAN FAMILY,3.0,2018-09-12 06:15:32,40.8096028,-73.89089200000002,NYC DOE - LOGAN FAMILY,0,167.3386111111111,7.0
DD8626AC-C95B-4913-9DAB-AEFCC79658A5,2018-09-10,1GB6G2A66A1133446,4,2018-09-10 16:10:29,40.8318593,-73.83904749999998,NYC DOE - PRIDE,3.0,2018-09-10 05:44:46,40.8314321,-73.83911429999998,NYC DOE - PRIDE,0,58.19611111111111,2.0
DD8626AC-C95B-4913-9DAB-AEFCC79658A5,2018-09-30,1GB6G2A66A1133446,13,2018-09-28 18:00:36,40.8655073,-73.828535,NYC DOE - PRIDE,,,,,,1,53.98972222222222,2.0
DF7B2C06-B46B-4EE7-8272-9C92D42E169C,2018-09-24,4DRBUAAN0BB310309,4,2018-09-24 16:14:21,40.9174913,-73.8405181,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-24 05:21:39,40.81468579999999,-73.9073735,NYC DOE - BORO/CONSOLIDATED/SNT,0,60.95777777777778,3.0
DF7B2C06-B46B-4EE7-8272-9C92D42E169C,2018-09-17,4DRBUAAN0BB310309,106,2018-09-17 17:13:45,40.9174461,-73.8405126,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-17 05:11:51,40.8141516,-73.9354728,NYC DOE - BORO/CONSOLIDATED/SNT,0,59.92944444444444,2.0
E28B87C5-7FA3-4DA9-8600-2A9670952268,2018-09-10,1GB6G5BG9E1121578,106,2018-09-10 17:33:40,40.7968606,-73.8120463,NYC DOE - MUTUAL,3.0,2018-09-10 12:52:00,40.7962898,-73.81259200000002,NYC DOE - MUTUAL,0,81.48583333333333,3.0
E2BF604F-DC49-405C-B97D-4421BF3F3442,2018-09-17,4DRBUAAN1BB310318,23,2018-09-17 16:55:06,40.9168031,-73.8408936,NYC DOE - BORO/CONSOLIDATED/SNT,3.0,2018-09-17 06:10:13,40.8212583,-73.9090816,NYC DOE - BORO/CONSOLIDATED/SNT,0,62.07555555555555,3.0
E7703274-9C70-46EA-8AE2-3EA81176B40F,2018-09-30,4DRBUC8N2FB647863,106,2018-09-05 07:16:01,40.7009828,-73.77702959999998,NYC DOE - RELIANT/MV,,,,,,1,616.7327777777778,26.0
E864D898-70DC-4D87-88B4-8CBF7A37CD68,2018-09-10,1FDEE3FL2FDA25019,4,2018-09-10 15:30:56,40.8152966,-73.8444503,NYC DOE - GVC,3.0,2018-09-10 06:33:45,40.8151328,-73.8445993,NYC DOE - GVC,0,61.70305555555556,3.0
